Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,18.35372734,20.98817444,23.6163044,26.23495674,28.84097099,31.43118858,34.00244904,36.55327606,39.09834671,37,44.14004898,46.66585541,49.20422745,51.76210785,54.34433746,56.9473381,60.09999847,60.75999832,68.1186676,69.12999725,72.68267822,74.79098511,76.74459076,79.58000183,80.95130157,84,85.59798431,88.16737366,90.7364502,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.161859512,10.1394186,11.09802246,12.03619289,15.60000038,13.82988262,14.74490547,15.66554642,16.59875298,17.5514679,20.26367188,19.52636337,11.85999966,21.56158257,24.89999962,26.05896759,27.08168411,27.96544456,28.69450188,29.46804047,30.45211792,31.46532249,32.29737854,32.09999847,33.56291962,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.91709517,100,100,100,99.98358086,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.846714,99.18677521,99.107534,99.34539032,99.41679382,99.47872925,99.441775,99.56151581,99.667146,99.57016754,99.78211212,99.50447083,99.47129822,99.70750427,99.42875671,99.43327332,99.81494904,99.51177979,99.57649231,99.86903381,99.72842407,99.85691071,100,99.80000305,100,99.87686157,100,99.80000305,100,100,100,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.79286957,99.76367188,99.74009705,99.7290802,99.73757935,99.77042389,99.82403564,99.89273071,99.95124817,100,99.99817657,100,100,100,100,100,100,100,100,100,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,78.37639618,79.04418945,79.69618988,80.32923126,85.9,81.54550934,82.13137054,82.71591187,83.30606842,83.90879059,86.40000153,91.22701263,85.84494781,88.76999664,87.21920013,87.91472626,88.09999847,88.09999847,89.96796417,90.63031769,86.5,92,92.56778717,93.20343781,93.83718109,94.47060394,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,70.07416534,70.97626495,71.87203979,72.75833893,73.63199615,74.48986053,79,76.14724731,79,83.95034027,78.53894043,79.33648682,77.09999847,80.97621155,73,90.40000153,83.59473419,84.49394226,87.3780365,87.5,88.2696991,88.5418396,89.19999695,89.80220795,90.65477753,91.50163269,90,93.18579865,94.02661133,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23.84301186,25.32820892,26.81902313,28.32240105,30,31.39252472,36.59999847,34.54361343,36.13609314,37.73228073,39.32649231,40.79999924,42.48749161,42,36.44277573,38.04213333,39.551754,40.51482391,41.18114853,40.65993118,
